dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;corruption;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;pagerank;0.2;64;0.5;1;0.005;0;20795212.0;0.0;0.0;[[]];[];0.3351206434316354;0.32890669814132917;[[981, 956, 935], [1813, 1849, 1755], [1868, 1849, 1795]];[0.21042471042471042, 0.3972926514825956, 0.40022296544035674];0.3307978363759297;0.3244646470214736;[[411, 388, 432], [760, 774, 788], [808, 783, 772]];[0.20768064679130874, 0.39794344473007714, 0.38755020080321284];0.0;[]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;0;20795212.0;1.0;1.0;[[2, 0, 0], [0, 2, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.6530375525590837;0.6415065047856796;[[1842, 480, 562], [661, 4062, 721], [938, 1424, 3104]];[0.5353095030514385, 0.6808581964465303, 0.7075450193754274];0.6331981068289385;0.6205261139151819;[[750, 207, 274], [295, 1711, 316], [418, 660, 1285]];[0.5126452494873548, 0.6636927851047324, 0.6853333333333333];7.0;[2, 2, 3]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;0;20795212.0;1.0;1.0;[[4, 0, 0], [0, 3, 0], [0, 0, 7]];[1.0, 1.0, 1.0];0.6548197577428012;0.6441984940674953;[[1868, 465, 594], [701, 3970, 756], [895, 1348, 3190]];[0.5392609699769053, 0.6864948988414318, 0.7026431718061674];0.6359026369168357;0.6242816729466472;[[755, 205, 271], [320, 1655, 347], [397, 614, 1352]];[0.5129076086956522, 0.6689571544058205, 0.6862944162436548];14.0;[4, 3, 7]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;0;20795212.0;1.0;1.0;[[4, 0, 0], [0, 4, 0], [0, 0, 7]];[1.0, 1.0, 1.0];0.6581314376904106;0.6471284857502628;[[1865, 484, 577], [693, 3996, 739], [888, 1332, 3212]];[0.541207196749855, 0.6875430144528561, 0.7093639575971732];0.6353955375253549;0.6226516775193699;[[743, 206, 282], [324, 1664, 334], [401, 610, 1352]];[0.5061307901907357, 0.6709677419354839, 0.6869918699186992];15.0;[4, 4, 7]


PubMed;own;pagerank;0.2;64;0.5;1;0.005;0;649695571.0;0.0;0.0;[[]];[];0.32888921092674445;0.32256326582453393;[[953, 961, 958], [1804, 1791, 1822], [1865, 1852, 1795]];[0.20618779749026395, 0.38900955690703737, 0.3923497267759563];0.33468559837728196;0.32870869222416454;[[425, 408, 398], [766, 761, 795], [785, 784, 794]];[0.21508097165991902, 0.38965693804403484, 0.3995973829894313];0.0;[]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[3, 0, 0], [0, 1, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.4717993330433522;0.4615532123378963;[[2124, 305, 532], [1385, 1352, 2638], [1956, 470, 3032]];[0.3886550777676121, 0.6356370474847203, 0.4888745565946469];0.4489519945909398;0.43826374570341714;[[860, 144, 227], [582, 536, 1204], [890, 213, 1260]];[0.3687821612349914, 0.6002239641657335, 0.4682274247491639];7.0;[3, 1, 3]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[5, 0, 0], [0, 5, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.5254224994560093;0.523713624575295;[[2165, 337, 451], [1327, 2162, 1895], [1925, 608, 2917]];[0.3996677127561381, 0.6958480849694239, 0.5542466273988219];0.5128465179175118;0.5102834544031114;[[878, 164, 189], [577, 904, 841], [859, 252, 1252]];[0.3794295592048401, 0.6848484848484848, 0.5486415425065732];14.0;[5, 5, 4]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[5, 0, 0], [0, 5, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.5304656898302625;0.5280811788187315;[[2155, 332, 466], [1321, 2152, 1911], [1875, 568, 3006]];[0.4027284619697253, 0.7051114023591087, 0.5584246702582203];0.512001352265044;0.508959860119654;[[888, 162, 181], [575, 872, 875], [863, 231, 1269]];[0.3817712811693895, 0.6893280632411067, 0.5458064516129032];15.0;[5, 5, 5]


PubMed;own;pagerank;0.2;64;0.5;1;0.005;0;831763849.0;0.0;0.0;[[]];[];0.32961379610173175;0.32199721396619535;[[904, 950, 1018], [1808, 1792, 1817], [1818, 1841, 1853]];[0.19955849889624724, 0.3910102552912939, 0.39526450511945393];0.3323191345503719;0.3255721642577901;[[407, 407, 417], [762, 799, 761], [794, 809, 760]];[0.20733571064696893, 0.3965260545905707, 0.39215686274509803];0.0;[]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;0;831763849.0;1.0;1.0;[[1, 0, 0], [0, 5, 0], [0, 0, 1]];[1.0, 1.0, 1.0];0.5729302595331304;0.4579847542699846;[[247, 2054, 504], [107, 5342, 106], [279, 2841, 2314]];[0.3902053712480253, 0.5218325681351959, 0.7913816689466484];0.5625422582826234;0.4529665464347985;[[109, 887, 235], [70, 2217, 35], [126, 1235, 1002]];[0.35737704918032787, 0.5109472228624107, 0.7877358490566038];7.0;[1, 5, 1]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;0;831763849.0;1.0;1.0;[[2, 0, 0], [0, 7, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.6106477116123885;0.4890587159111195;[[255, 1944, 526], [105, 5638, 138], [189, 2466, 2526]];[0.4644808743169399, 0.5611066878980892, 0.7918495297805642];0.5819810682893847;0.4721699713838136;[[114, 872, 245], [49, 2224, 49], [72, 1186, 1105]];[0.4851063829787234, 0.5193834656702475, 0.7898498927805575];14.0;[2, 7, 5]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;0;831763849.0;1.0;1.0;[[3, 0, 0], [0, 7, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.6101117075293776;0.4910117732889801;[[271, 1948, 507], [110, 5629, 141], [197, 2472, 2511]];[0.4688581314878893, 0.5601552393272963, 0.7948717948717948];0.5806288032454361;0.47334590586620046;[[120, 875, 236], [57, 2214, 51], [69, 1193, 1101]];[0.4878048780487805, 0.5170481083605791, 0.7932276657060519];15.0;[3, 7, 5]


