;;;;;;;;;test_accuracy;test_accuracy;test_macro_f1;test_macro_f1;train_accuracy;train_accuracy;train_macro_f1;train_macro_f1
;;;;;;;;;mean;std;mean;std;mean;std;mean;std
dataset_name;sampler_name;budget;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;;;;;;;;
Cora;own;0;-1;0.2;64;0.5;1;0.005;0.147429620563035;0.00974732969617256;0.141484330906026;0.0106114307350455;0.252617662612374;0.0195464979272004;0.243826694852822;0.018827649191406
Cora;own;0;0;0.2;64;0.5;1;0.005;0.147429620563035;0.00974732969617256;0.141484330906026;0.0106114307350455;0.252617662612374;0.0195464979272004;0.243826694852822;0.018827649191406
Cora;own;0;0.5;0.2;64;0.5;1;0.005;0.147429620563035;0.00974732969617256;0.141484330906026;0.0106114307350455;0.252617662612374;0.0195464979272004;0.243826694852822;0.018827649191406
Cora;own;0;1;0.2;64;0.5;1;0.005;0.147429620563035;0.00974732969617256;0.141484330906026;0.0106114307350455;0.252617662612374;0.0195464979272004;0.243826694852822;0.018827649191406
Cora;own;7;-1;0.2;64;0.5;1;0.005;0.309853121175031;0.0558794022642057;0.227319627124797;0.0532282944073814;0.95;0.0838775640874857;0.929818181818182;0.122649690273242
Cora;own;7;0;0.2;64;0.5;1;0.005;0.348408812729498;0.0874133389049122;0.28583495850999;0.0796919633552888;0.942857142857143;0.0718035271357192;0.914746031746032;0.121121538654428
Cora;own;7;0.5;0.2;64;0.5;1;0.005;0.337086903304773;0.0801940009717655;0.273458260948407;0.0746183245114485;0.964285714285714;0.0634659511884742;0.955063492063492;0.085544959455926
Cora;own;7;1;0.2;64;0.5;1;0.005;0.308261933904529;0.0572386696708859;0.227246621433757;0.053260136029164;0.942857142857143;0.0972224353398172;0.925353896103896;0.126098408033682
Cora;own;14;-1;0.2;64;0.5;1;0.005;0.401897184822521;0.0661923590968171;0.338953175660928;0.0601165735008675;0.875;0.0863230263398875;0.806232530696816;0.113682860549362
Cora;own;14;0;0.2;64;0.5;1;0.005;0.440881272949816;0.0906671586405238;0.382447736861102;0.0939278674962086;0.871428571428571;0.130272786589856;0.822486514807943;0.135928986348518
Cora;own;14;0.5;0.2;64;0.5;1;0.005;0.429804161566707;0.0809201559430359;0.375615466574335;0.0782536542802973;0.892857142857143;0.0675646644947798;0.824581632653061;0.0971893376006765
Cora;own;14;1;0.2;64;0.5;1;0.005;0.401652386780906;0.0613362834208472;0.349257123772745;0.0620767382838002;0.853571428571429;0.0940638766443648;0.794997423211709;0.124235439437221
Cora;own;21;-1;0.2;64;0.5;1;0.005;0.460403916768666;0.0726820825492047;0.406137260526675;0.0634429729834426;0.888095238095238;0.0850082309641984;0.849016804345752;0.107549916252831
Cora;own;21;0;0.2;64;0.5;1;0.005;0.513831089351285;0.107859349986497;0.471269825504574;0.108878889542161;0.892857142857143;0.0950813246046698;0.842193216836074;0.132599500661515
Cora;own;21;0.5;0.2;64;0.5;1;0.005;0.501897184822521;0.078204888546341;0.457010545870606;0.0943535217186137;0.933333333333333;0.058627334404866;0.887432954507203;0.0930938019810095
Cora;own;21;1;0.2;64;0.5;1;0.005;0.486658506731946;0.0815057334129936;0.435656863784263;0.0880338617880692;0.892857142857143;0.0738923458035367;0.828687490106663;0.0928444707696149
Cora;own;28;-1;0.2;64;0.5;1;0.005;0.519889840881273;0.0742890097095094;0.477400564409899;0.0762631766015346;0.916071428571429;0.0605149314469939;0.881251812028128;0.102131768577352
Cora;own;28;0;0.2;64;0.5;1;0.005;0.575642594859241;0.0855209698126039;0.525278303086407;0.0880331631283529;0.944642857142857;0.0584840261132807;0.910036057056517;0.0941265867485259
Cora;own;28;0.5;0.2;64;0.5;1;0.005;0.532374541003672;0.0768193784248706;0.492208765847859;0.0870758428481144;0.919642857142857;0.0722462595525474;0.871569718264765;0.106561642332033
Cora;own;28;1;0.2;64;0.5;1;0.005;0.562117503059975;0.0606791963960773;0.506041752648588;0.0772762063819257;0.942857142857143;0.0483342284199253;0.907888732272854;0.087684443204264
Cora;own;35;-1;0.2;64;0.5;1;0.005;0.578212974296206;0.0692306866402876;0.539158560776601;0.0742975352064728;0.941428571428571;0.0398439490922976;0.890660544674256;0.0998536539922741
Cora;own;35;0;0.2;64;0.5;1;0.005;0.607711138310894;0.062695746863719;0.565800864945358;0.0729206783493099;0.944285714285714;0.0536327969301629;0.910747818818363;0.083543521076355
Cora;own;35;0.5;0.2;64;0.5;1;0.005;0.589167686658507;0.0627482637307508;0.544724350444512;0.0742158927063206;0.942857142857143;0.0321115135399438;0.90156331738664;0.0760453423047035
Cora;own;35;1;0.2;64;0.5;1;0.005;0.603365973072215;0.0480401897773346;0.556735642225063;0.0675536607466003;0.95;0.0462329598184758;0.910513420982019;0.084832894549526
Cora;own;42;-1;0.2;64;0.5;1;0.005;0.606058751529988;0.0664076211098452;0.577098396438971;0.076583157987992;0.945238095238095;0.0337602450712808;0.921610807960345;0.0597879089082374
Cora;own;42;0;0.2;64;0.5;1;0.005;0.632007343941248;0.0513650459122265;0.601092771187873;0.0620150576182979;0.951190476190476;0.0322921900041905;0.926492326841177;0.0608433445902739
Cora;own;42;0.5;0.2;64;0.5;1;0.005;0.62374541003672;0.0584695502900965;0.586942224684038;0.064666403070885;0.95;0.0335830247129734;0.930126731015318;0.0601594074160182
Cora;own;42;1;0.2;64;0.5;1;0.005;0.632313341493268;0.0546915261441752;0.591895756219256;0.0806406658765294;0.952380952380952;0.0336717514850737;0.926129536371317;0.0567699556666544
