;;;;;;;;;test_accuracy;test_accuracy;test_macro_f1;test_macro_f1;train_accuracy;train_accuracy;train_macro_f1;train_macro_f1
;;;;;;;;;mean;std;mean;std;mean;std;mean;std
dataset_name;sampler_name;budget;embedding_dim;hidden_dim_size;dropout;distance_loss_weight;train_epochs;learning_rate;;;;;;;;
Cora;model;7;16;128;0.5;1;16;0.004;0.318971848225214;0.0834215153468639;0.250116579475608;0.078061457331982;0.9;0.117610371764081;0.806349206349206;0.211152878073853
Cora;model;14;16;128;0.5;1;16;0.004;0.447490820073439;0.113273590965751;0.406771146778829;0.115655154340169;0.892857142857143;0.107802204025445;0.835721844293273;0.141555902079803
Cora;model;21;16;128;0.5;1;16;0.004;0.56156670746634;0.0612207225580538;0.518847153211845;0.0567864732890168;0.880952380952381;0.0682724227543066;0.839598552707797;0.0891446456108753
Cora;model;28;16;128;0.5;1;16;0.004;0.625458996328029;0.0910043098920005;0.581665832734383;0.0793776848213497;0.925;0.0723159168975592;0.913799390692359;0.085662506889054
Cora;model;35;16;128;0.5;1;16;0.004;0.673194614443085;0.0544427273347079;0.631860915871668;0.0562716175661676;0.928571428571429;0.0508432297715777;0.900928478372087;0.079236403774386
Cora;model;42;16;128;0.5;1;16;0.004;0.697919216646267;0.0390092675493316;0.671241481855652;0.0388920764493199;0.945238095238095;0.0405461580141105;0.936064432069201;0.05582942507928
Cora;model;49;16;128;0.5;1;16;0.004;0.724969400244798;0.0243642724594364;0.707118021507016;0.0302754759416142;0.942857142857143;0.0301169300968417;0.929891985643212;0.0533704897219147
Cora;model;56;16;128;0.5;1;16;0.004;0.754589963280294;0.0238686808295043;0.73550283384198;0.0279443431648151;0.948214285714286;0.0258774584753383;0.944971138985887;0.0312851302461195
Cora;model;63;16;128;0.5;1;16;0.004;0.766462668298654;0.0248161310625732;0.751067625139635;0.0298546227272946;0.93968253968254;0.0195122634016781;0.934107761258684;0.0230098376393027
Cora;model;70;16;128;0.5;1;16;0.004;0.782986536107711;0.0211139789137382;0.772345636467785;0.0249422806351782;0.927142857142857;0.0227875925981055;0.926543650750198;0.0276638256260018
Cora;model;77;16;128;0.5;1;16;0.004;0.781517747858017;0.0243451348115521;0.774422739672534;0.0302283604899427;0.903896103896104;0.0294881149193531;0.902228869429642;0.0245427081720132
Cora;model;84;16;128;0.5;1;16;0.004;0.794492044063647;0.0232268066210734;0.785844078974818;0.0284710282595445;0.919047619047619;0.0371408220850717;0.911190964610492;0.0402237592982106
Cora;model;91;16;128;0.5;1;16;0.004;0.798776009791922;0.0261640134663354;0.790354780416441;0.0298338833811051;0.923076923076923;0.0315103489635261;0.920306443902213;0.0315427412701793
Cora;model;98;16;128;0.5;1;16;0.004;0.806731946144431;0.0272072953040529;0.798104299629398;0.0310422952505541;0.926530612244898;0.0295742382575295;0.918151749449092;0.0340755510292139
Cora;model;105;16;128;0.5;1;16;0.004;0.810893512851897;0.0274800264468944;0.800245992136595;0.0312472767885336;0.917142857142857;0.027327414878295;0.912392900675475;0.0275407207150118
Cora;model;112;16;128;0.5;1;16;0.004;0.812729498164015;0.0280896197112338;0.801116947760846;0.0319058423514686;0.911607142857143;0.0247041737731513;0.90422056473535;0.027683173057085
Cora;model;119;16;128;0.5;1;16;0.004;0.815789473684211;0.0284385724661028;0.803929121216687;0.0308128767120855;0.911764705882353;0.0182610711630326;0.907049485740823;0.0217813525640898
Cora;model;126;16;128;0.5;1;16;0.004;0.81921664626683;0.0231089725858161;0.807550776233616;0.0284682012210542;0.917460317460317;0.0176278637555108;0.909484293555267;0.0199107138616727
Cora;model;133;16;128;0.5;1;16;0.004;0.8203182374541;0.0230566893675389;0.808702779820436;0.0297119003567235;0.906766917293233;0.0191528553128249;0.90185653193548;0.0189026316750439
Cora;model;140;16;128;0.5;1;16;0.004;0.823378212974296;0.0167333384089443;0.810582219885167;0.0245050468074718;0.917857142857143;0.021095291841273;0.908203564638494;0.0250627093648543
